poem_id,poet,collection,poem_title,n_lines,n_stanzas,n_words,pub_place,pub_date,comp_date_from,comp_date_to,mean_surprisal,mean_entropy,s2_mean,uid_sigma,tension,peak_pos,ac1,ttr
george_0001,george,Die Fibel. Auswahl Erster Verse,GELEITVERSE,24,6,128,Berlin,1927,1868,1927,12.9363,7.2439,5.6924,7.6774,-0.6921,0.1328,0.1624,0.8047
george_0002,george,Die Fibel. Auswahl Erster Verse,[Ich wandelte auf öden düstren bahnen],14,4,99,Berlin,1927,1868,1927,10.7913,6.5856,4.2058,6.8302,1.0004,0.5556,0.2663,0.8384
george_0003,george,Die Fibel. Auswahl Erster Verse,DIE NAJADE,28,7,147,Berlin,1927,1868,1927,11.684,6.9561,4.7279,8.0213,-2.8737,0.0136,0.1103,0.7959
george_0004,george,Die Fibel. Auswahl Erster Verse,[Mir ist es wie Titanien ergangen],8,2,58,Berlin,1927,1868,1927,10.3881,6.7982,3.59,7.2668,-2.3569,0.1724,0.1094,0.8448
george_0005,george,Die Fibel. Auswahl Erster Verse,ABENDBETRACHTUNG,18,6,81,Berlin,1927,1868,1927,13.6533,7.2718,6.3814,7.6135,-1.4868,0.321,0.0174,0.9383
george_0006,george,Die Fibel. Auswahl Erster Verse,[Vernunft! du legtest deine kalten hände],12,3,85,Berlin,1927,1868,1927,10.8254,7.4144,3.411,5.9226,-0.7478,0.1059,0.1468,0.8588
george_0007,george,Die Fibel. Auswahl Erster Verse,[Manchmal durchzuckt es mich wie heller strahl],7,1,52,Berlin,1927,1868,1927,11.3207,6.0699,5.2508,8.4158,2.6282,0.7308,-0.0621,0.8654
george_0008,george,Die Fibel. Auswahl Erster Verse,ERINNERUNG,12,4,69,Berlin,1927,1868,1927,11.7356,6.4244,5.3112,7.3327,-1.5457,0.0435,-0.036,0.7681
george_0009,george,Die Fibel. Auswahl Erster Verse,[Wenn die blätter gelblich werden],12,3,60,Berlin,1927,1868,1927,11.9087,7.1441,4.7646,7.2726,0.963,0.8167,0.2199,0.85
george_0010,george,Die Fibel. Auswahl Erster Verse,[Wenn die augen vergebens verlangen],20,5,121,Berlin,1927,1868,1927,11.3941,7.0803,4.3138,6.6885,0.2855,0.0661,0.095,0.7934
george_0011,george,Die Fibel. Auswahl Erster Verse,HERZENSNACHT,12,3,66,Berlin,1927,1868,1927,10.2321,6.6158,3.6163,5.674,-0.5698,0.3485,0.0835,0.8636
george_0012,george,Die Fibel. Auswahl Erster Verse,[Warum schweigst du meine leier],16,4,91,Berlin,1927,1868,1927,10.1592,6.4602,3.699,5.5951,-0.3317,0.7473,0.1417,0.8022
